Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Date Added
Are We Ready for Coronavirus Disease 2019 Arriving at Schools?,"CHOE, Young June; CHOI, Eun Hwa",No abstract available.,2020,,Journal of Korean Medical Science,35,11,127-,,,12624,#11644,CHOE 2020,,Awaiting classification,24-03-20
Covid-19: The right amount of wolf,"Ørstavik, R. E.",,2020,,"Tidsskrift for den Norske laegeforening : tidsskrift for praktisk medicin, ny raekke",140,4,,32192247,10.4045/tidsskr.20.0190,13433,#12686,Ørstavik 2020,,Awaiting classification,24-03-20
"Coronavirus disease 2019 (COVID-19) outbreak in Iran; actions and problems COVID-19, Australia: Epidemiology Report 7 (Reporting week ending 19:00 AEDT 14 March 2020)","Abdi, M.","This is the seventh epidemiological report for coronavirus disease 2019 (COVID-19), reported in Australia as at 19:00 Australian Eastern Daylight Time [AEDT] 14 March 2020. It includes data on COVID-19 cases diagnosed in Australia, the international situation and a review of current evidence.",2020,,Infection control and hospital epidemiology Communicable diseases intelligence (2018),44,,01-May,32192424,10.1017/ice.2020.86 10.33321/cdi.2020.44.23,13944,#12101,Abdi 2020,,* Narrative review; * Opinion piece; Infection prevention and control,24-03-20
Radiotherapy in the time of the Coronavirus pandemic: when less is better,"Achard, Vérane; Tsoutsou, Pelagia; Zilli, Thomas",,2020,,"International journal of radiation oncology, biology, physics",,,,,10.1016/j.ijrobp.2020.03.008,12467,#11968,Achard 2020,,"* Narrative review; * Opinion piece; Clinical aspects, diagnosis, treatment; Infection prevention and control",24-03-20
Pharmacy Services and the Novel Coronavirus [Chemotherapy strategy for colorectal cancer under the outbreak of corona virus disease 2019],"Alderman, C.; Li, Y. H.; Shen, L.; Li, J.","Pharmacists around the world can expect to be affected by the coronavirus, especially those who provide care for older people who are at a much higher risk for grave consequences from the virus. It is critical that pharmacists maintain awareness of the evolving pandemic and access reliable information to remain familiar with developments. The outbreak of corona virus disease 2019 (COVID-19) makes the medical treatment of colorectal cancers difficult. Cancer patients are more susceptible to infection and tumor history is defined as an important factor of poor prognosis, which challenges both doctors and patients. For metastatic colorectal cancer (CRC) patients, maintenance therapy is the optimal choice. The patients with tumor progression or poor biological behavior should receive or continue combination chemotherapy. Adjuvant chemotherapy should reduce the intensity of treatment and shorten the therapy time. Fever patients during chemotherapy need to receive differential diagnosis and screening according to national standards. Patients with stable diseases and good general conditions may delay imaging examination. Clinicians should make individual clinical decisions based on the specifics of each patient during epidemic situation.",2020,,The Senior care pharmacist Zhonghua wei chang wai ke za zhi = Chinese journal of gastrointestinal surgery,35,4,146-147,32192297,10.4140/TCP.n.2020.146. 10.3760/cma.j.cn.441530-20200225-00089,13430,#12117,Alderman 2020,,"* Narrative review; * Opinion piece; Clinical aspects, diagnosis, treatment; Infection prevention and control",24-03-20
"Viral loads of SARS-CoV, MERS-CoV and SARS-CoV-2 in respiratory specimens: What have we learned?","Al-Tawfiq, J. A.",,2020,,Travel medicine and infectious disease,,,101629,32176356,10.1016/j.tmaid.2020.101629,14237,#12121,Al-Tawfiq 2020,,"* Narrative review; * Opinion piece; Clinical aspects, diagnosis, treatment; Virology, immunology",24-03-20
How to link patients with suspicious COVID-19 to health system from the community pharmacies? A route proposal,"Amariles, Pedro; Ledezma-Morales, Mónica; Salazar-Ospina, Andrea; Hincapié-García, Jaime Alejandro","Colombia confirmed its first case of the COVID-19 on March 6th, 2020. On March 16th, 2020, 54 cases have been confirmed (36 imported and 18 associated), therefore, Colombia is at highest alert, and it is now trying to avoid or minimize the last stage of “community transmission”. We present a route proposal that shows how the community pharmacist may develop his responsibility to contribute to the early detection and appropriate referral of possible cases of the COVID-19. In the route have been considered three possible entrances depending on the needs of the users: anti-flu drugs, symptoms related to COVID-19 infection or the request for items for hygiene and prevention of transmission such as alcohol and face masks. Later, self-care education should be given, and the possible cases should be reported to the telephone lines designated by the mayor or the governor, continuing the healthcare process. Community pharmacies and pharmacy staff play a crucial role in minimizing the stage of “community transmission” of COVID-19, through properly detection and management of possible cases and customer education.",2020,,Research in Social and Administrative Pharmacy,,,,,10.1016/j.sapharm.2020.03.007,12494,#11970,Amariles 2020,,"Clinical aspects, diagnosis, treatment; Ethics, social science, economics; Infection prevention and control",24-03-20
CT Manifestations of Novel Coronavirus Pneumonia: A Case Report [Treatment strategy for gastrointestinal tumor under the outbreak of novel coronavirus pneumonia in China],"An, P.; Song, P.; Lian, K.; Wang, Y.; Chen, Y. H.; Peng, J. S.","BACKGROUND: Since December 2019, the outbreak of the novel coronavirus has impacted nearly >90,000 people in more than 75 countries. In this case report, we aim to define the chest computed tomography findings of 2019-novel coronavirus associated with pneumonia and its successful resolution after treatment. CASE REPORT: A fifty-year-old female patient, who is a businesswoman, presented with chief complaints of “fever for one week, diarrhea, anorexia, and asthenia.” Initially, she was given Tamiflu. The influenza A virus serology was negative. Three days later, levofloxacin was started because the patient’s symptoms did not improve. The novel coronavirus nucleic acid test was negative. It was noted that before the onset of the disease, the patient went to Wuhan on a business trip. Despite the given treatment, her body temperature rose to 39.2°C and she was referred to our clinic for further evaluation. Then, chest computed tomography was performed and showed bilateral multifocal ground glass opacities with consolidation which suggested viral pneumonia as a differential diagnosis, and the subsequent 2019-novel coronavirus pneumonia nucleic acid test was positive. CONCLUSION: Chest computed tomography offers fast and convenient evaluation of patients with suspected 2019-novel coronavirus pneumonia. The outbreak of the novel coronavirus pneumonia (NCP) has become a public health emergency in China. Chinese authorities and health agencies had devoted great efforts to control this disease. As surgeons specialized in the treatment of gastrointestinal tumors, we should always be aware of the prevention for NCP and incorporate this awareness into every detail of clinical practice. For the patients with gastrointestinal tumors, pre-admission screening should be done in order to rule out NCP. Real-time RT-PCR panel and chest CT scan should be conducted for patients with fever (>37.3℃), travel history to Hubei Province within 14 days, or contact history with residents from Wuhan district within 14 days. Prevention measures for both medical staffs and the screen-negative admitted patients should also be enhanced because false negative is possible. Medical instruments should be properly discarded or disinfected according to standardized procedures established by the local center for disease control and prevention (CDC). Surgical operation should be reduced at a minimal level to prevent cross infection in this special period.Surgical intervention for benign tumor should be postponed. For malignant tumor, multidisciplinary therapy (MDT) is recommended and non-surgical anti-tumor therapy should be selected with higher priority. Neoadjuvant therapy is highly recommended for gastrointestinal cancer at advanced stages that meet the indications of NCCN guideline (gastric cancer T stage ≥ 2/rectal cancer T stage ≥ 3/unresectable colon cancer). Gastric or esophagogastricjunction (EGJ) malignant tumor with obstruction can be managed with gastric tube decompression or stent placement to relieve the symptoms. Transnasal enteral feeding tube intubation/percutaneous endoscopic gastrostomy could be adopted to ensure enteral nutrition supply. For colorectal malignancy with simple intestinal obstruction, stent placement can achieve a high success rate, which not only helps avoid emergency surgery, but also creates a better condition for subsequent surgery. Transcatheter arterial embolization for hemostasis is an alternative choice for gastrointestinal tumor with bleeding. However, emergency operation still must be performed for patients with acute uncontrolled bleeding, obstruction or after other alternative treatment measures fail. All cases with suspicious or confirmed with NCP must be reported to the local CDC department. All invasive intervention must be performed in a designated isolation area. Tertiary prevention measure must be adopted for all anesthetists with additional face mask or medical goggle protection to prevent respiratory droplet transmission. Preventive enterostomy is preferable in lower digestive tract surgery. Thoroughly disinfecting the operating room after surgery is necessary. Fever after surgery must be carefully differentiated whether it's caused by post-surgery abdominal infection/inflammation or NCP. Single-room isolation and related examinations should be performed according to the standard procedures. We believe that with the unprecedentedly joint efforts of doctors and patients, we will eventually win this war against NCP.",2020,,Balkan medical journal Zhonghua wei chang wai ke za zhi = Chinese journal of gastrointestinal surgery,23,2,I-iv,32074786,10.4274/balkanmedj.galenos.2020.2020.2.15 10.3760/cma.j.issn.1671-0274.2020.02.001,13117,#12128,An 2020,,"* Case study/series; Clinical aspects, diagnosis, treatment",24-03-20
Breastfeeding and Respiratory Antivirals: Coronavirus and Influenza,"Anderson, P. O.",,2020,,Breastfeeding medicine : the official journal of the Academy of Breastfeeding Medicine,15,3,128,32129667,10.1089/bfm.2020.29149.poa,14292,#12130,Anderson 2020,,"* Narrative review; * Opinion piece; Clinical aspects, diagnosis, treatment",24-03-20
Lymphopenic community acquired pneumonia as signature of severe COVID-19 infection,"Bermejo-Martin, J. F.; Almansa, R.; Menéndez, R.; Mendez, R.; Kelvin, D. J.; Torres, A.",,2020,,The Journal of infection,,,,32129925,10.1016/j.jinf.2020.02.029,13057,#12182,Bermejo-Martin 2020,,"* Narrative review; Clinical aspects, diagnosis, treatment",24-03-20
